Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Ride_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Method
07-09-2025,17:14:00,CNR6664316,Cancelled by Driver,CUST983456,Prime SUV,MG Road,Indiranagar,,,No,,Yes,The customer was coughing/sick,No,,,3.1,,,UPI
21-09-2025,19:05:00,CNR7989166,Successful,CUST748133,Mini,Ulsoor,Vijayanagar,8.9,6.5,No,,No,,No,,381,6.6,4.5,4.8,Wallet
21-09-2025,11:09:00,CNR9102469,Other,CUST356773,Bike,Nagarbhavi,Residency Road,,,No,,No,,No,,,4.1,,,Card
04-09-2025,07:01:00,CNR3652149,Successful,CUST560959,Mini,Baiyappanahalli,Electronic City,5.4,5.2,No,,No,,No,,225,4.5,4.2,4.9,UPI
07-09-2025,20:42:00,CNR6357240,Successful,CUST869864,Prime SUV,Sanjay Nagar,Residency Road,13.7,16.8,No,,No,,No,,404,5.9,5,4.5,Card
14-09-2025,15:35:00,CNR2781470,Cancelled by Driver,CUST434617,Prime Plus,Yelahanka,Kundalahalli,,,No,,Yes,Customer related issue,No,,,5.1,,,UPI
06-09-2025,10:57:00,CNR7444964,Successful,CUST745270,Mini,Rajajinagar,Basavanagudi,12.5,15.2,No,,No,,No,,935,17.2,4.9,4.5,UPI
21-09-2025,09:14:00,CNR3673322,Successful,CUST622469,Prime SUV,Baiyappanahalli,Ulsoor,6.2,8.2,No,,No,,No,,706,18.5,4.7,4.2,UPI
15-09-2025,07:32:00,CNR7597509,Successful,CUST629996,Mini,Richmond Town,Electronic City,5.8,7.3,No,,No,,No,,193,6.7,4,4.5,UPI
03-09-2025,10:48:00,CNR9302946,Successful,CUST726543,Prime SUV,Hosur Road,Nagarbhavi,7.8,9.3,No,,No,,No,,215,7,4.4,4.1,UPI
17-09-2025,20:27:00,CNR2803501,Cancelled by Driver,CUST551860,Auto,Kalyan Nagar,Hulimavu,,,No,,Yes,More than permitted people in there,No,,,7.5,,,UPI
13-09-2025,12:50:00,CNR1858283,Successful,CUST697983,Mini,Banerghatta Road,Sarakki,6.4,3.7,No,,No,,No,,499,8.9,4.4,4.1,Wallet
14-09-2025,13:41:00,CNR5692934,Successful,CUST965401,Prime SUV,Nagarbhavi,Ejipura,16.6,17.2,No,,No,,No,,335,7,3.9,5,UPI
29-09-2025,12:43:00,CNR7261229,Cancelled by Driver,CUST933510,Prime SUV,Sarakki,Banerghatta Road,,,No,,Yes,Customer related issue,No,,,25.4,,,Cash
20-09-2025,12:51:00,CNR9389915,Successful,CUST142210,Auto,HSR Layout,Ejipura,4.5,7.4,No,,No,,No,,73,4.2,4.2,3.7,Cash
14-09-2025,13:47:00,CNR3498809,Successful,CUST735710,Prime SUV,HSR Layout,Basavanagudi,14.9,18.3,No,,No,,No,,999,20,4.9,5,Card
12-09-2025,12:42:00,CNR6020319,Cancelled by Driver,CUST722565,Prime Sedan,Frazer Town,Chamarajpet,,,No,,Yes,The customer was coughing/sick,No,,,8.1,,,UPI
14-09-2025,06:17:00,CNR7180018,Successful,CUST447329,Bike,Koramangala 1st Block,Peenya,0.5,0.5,No,,No,,No,,471,0.7,4.6,4.7,UPI
28-09-2025,20:53:00,CNR1447065,Successful,CUST725905,Mini,Hosur Road,Sadananda Nagar,7.4,10.8,No,,No,,No,,307,0.5,4.2,4.8,UPI
07-09-2025,06:52:00,CNR9060593,Other,CUST278794,Mini,Hulimavu,Ejipura,,,No,,No,,No,,,13.2,,,UPI
14-09-2025,20:01:00,CNR5063384,Successful,CUST133104,Mini,Sarjapur Road,Yelahanka,6.4,9.1,No,,No,,No,,296,2.9,4.9,4.2,UPI
14-09-2025,13:08:00,CNR3540594,Successful,CUST533020,Bike,Koramangala 1st Block,Frazer Town,4.8,8.5,No,,No,,No,,767,16.3,4.5,4,Card
28-09-2025,20:53:00,CNR2044906,Successful,CUST840058,Auto,Electronic City,Sarakki,4.3,6,No,,No,,No,,71,6.6,4.3,5,UPI
21-09-2025,14:58:00,CNR7322070,Successful,CUST428993,Prime SUV,Baiyappanahalli,Chamarajpet,10.3,10.8,No,,No,,No,,393,2.9,4.4,4.1,UPI
13-09-2025,19:10:00,CNR5435261,Cancelled by Customer,CUST739711,Mini,Richmond Town,Kundalahalli,,,Yes,Driver asked to cancel,No,,No,,,3.5,,,Cash
28-09-2025,22:45:00,CNR5993143,Cancelled by Driver,CUST908634,Prime Sedan,Electronic City,Sarjapur Road,,,No,,Yes,The customer was coughing/sick,No,,,17.7,,,UPI
14-09-2025,15:33:00,CNR5587856,Successful,CUST401769,Auto,Nagarbhavi,Chamarajpet,3.7,3.9,No,,No,,No,,276,3.3,4.8,4.1,UPI
29-09-2025,19:58:00,CNR6790398,Successful,CUST910616,Bike,Marathahalli,MG Road,3.2,4.8,No,,No,,No,,33,1.1,4.1,4.3,UPI
21-09-2025,11:54:00,CNR8421839,Successful,CUST787836,Prime Plus,Seshadripuram,Electronic City,5.4,7.6,No,,No,,No,,463,4.3,4.4,4.5,UPI
18-09-2025,21:55:00,CNR5557052,Successful,CUST243941,Auto,Talaghattapura,Peenya,4.7,10.4,No,,No,,No,,231,9.5,4.7,4.3,UPI
03-09-2025,21:26:00,CNR9909397,Cancelled by Customer,CUST336633,Mini,Brigade Road,Hebbal,,,Yes,Wrong Address,No,,No,,,4.8,,,Cash
06-09-2025,19:09:00,CNR3306314,Successful,CUST105433,Prime SUV,Rajajinagar,Koramangala 1st Block,9.7,11.7,No,,No,,No,,30,3,4.9,3.8,UPI
28-09-2025,14:07:00,CNR9010256,Successful,CUST782139,Prime Plus,Marathahalli,Basavanagudi,7.5,7.3,No,,No,,No,,484,7,4.6,4.3,UPI
04-09-2025,19:07:00,CNR2500901,Incomplete,CUST783984,Mini,Chamarajpet,Talaghattapura,,,No,,No,,Yes,Customer Demand,,20,,,UPI
28-09-2025,08:59:00,CNR8010946,Successful,CUST978292,Auto,MG Road,Residency Road,5,7.3,No,,No,,No,,999,14.9,5,4.1,UPI
07-09-2025,18:46:00,CNR5856449,Successful,CUST139286,Auto,Yeshwantpur,Kudlu,6.4,9.4,No,,No,,No,,125,0.7,4.8,4.6,UPI
30-09-2025,10:51:00,CNR8622712,Successful,CUST772464,Mini,Ulsoor,HSR Layout,6.3,4.4,No,,No,,No,,581,20.8,5,4.4,UPI
14-09-2025,09:17:00,CNR2889899,Successful,CUST446747,Auto,Baiyappanahalli,Hosur Road,1.3,0.5,No,,No,,No,,248,3,4.5,4.4,UPI
07-09-2025,18:34:00,CNR6655803,Successful,CUST929179,Prime Sedan,Nagarbhavi,Chikkabanavara,6.4,7.9,No,,No,,No,,30,5.8,4.6,4.6,UPI
20-09-2025,16:54:00,CNR7802999,Successful,CUST967161,Mini,Basavanagudi,Whitefield,2.1,5.8,No,,No,,No,,290,4.3,5,3.5,Card
06-09-2025,22:45:00,CNR3359075,Successful,CUST600646,Prime Sedan,Richmond Town,Koramangala,8.2,8.7,No,,No,,No,,261,4.9,4.8,3.9,Wallet
07-09-2025,18:51:00,CNR5479421,Successful,CUST445637,Prime Sedan,Hulimavu,Yeshwantpur,10.5,11.4,No,,No,,No,,419,5.3,4.7,3.9,UPI
21-09-2025,17:49:00,CNR4964499,Successful,CUST165142,Bike,Baiyappanahalli,Kengeri,6.5,3.8,No,,No,,No,,451,5.4,5,4.6,Cash
21-09-2025,21:45:00,CNR6217344,Incomplete,CUST823821,Auto,Marathahalli,Banerghatta Road,,,No,,No,,Yes,Customer Demand,,4.4,,,Cash
28-09-2025,14:09:00,CNR3570027,Cancelled by Driver,CUST577079,Bike,Kudlu,Banerghatta Road,,,No,,Yes,More than permitted people in there,No,,,5.9,,,Cash
23-09-2025,19:41:00,CNR4664338,Incomplete,CUST898867,Prime Plus,Chikkabanavara,Kudlu,,,No,,No,,Yes,Customer Demand,,18.7,,,UPI
17-09-2025,15:00:00,CNR7069742,Successful,CUST181896,Prime SUV,Yelahanka,Brigade Road,8.4,10.6,No,,No,,No,,722,15.8,4.2,4.1,UPI
28-09-2025,09:27:00,CNR3514105,Incomplete,CUST272529,Prime Sedan,Shivaji Nagar,Airport Road,,,No,,No,,Yes,Customer Demand,,3.1,,,UPI
21-09-2025,14:20:00,CNR2525747,Cancelled by Driver,CUST635167,Mini,Brigade Road,Baiyappanahalli,,,No,,Yes,More than permitted people in there,No,,,0.9,,,UPI
14-09-2025,06:59:00,CNR8757420,Successful,CUST805448,Bike,Hulimavu,Indiranagar,4.7,7.2,No,,No,,No,,466,7.4,4.3,4.6,UPI
27-09-2025,18:43:00,CNR4655777,Successful,CUST706403,Auto,Koramangala 5th Block,Sanjay Nagar,2.4,4.3,No,,No,,No,,733,14.3,4.3,4.9,UPI
18-09-2025,07:01:00,CNR2157949,Cancelled by Driver,CUST595002,Auto,Koramangala 1st Block,Banashankari,,,No,,Yes,More than permitted people in there,No,,,18.7,,,UPI
14-09-2025,21:12:00,CNR7416943,Successful,CUST570325,Prime SUV,Cooke Town,Cooke Town,10.9,13.7,No,,No,,No,,499,5.7,5,4.8,UPI
29-09-2025,20:55:00,CNR3231198,Cancelled by Driver,CUST785280,Prime SUV,Yelahanka,Banashankari,,,No,,Yes,More than permitted people in there,No,,,26.3,,,Card
17-09-2025,18:25:00,CNR4736121,Incomplete,CUST975373,Auto,Indiranagar,Kengeri,,,No,,No,,Yes,Other Issue,,5.8,,,UPI
18-09-2025,15:04:00,CNR7363203,Successful,CUST963355,Prime Plus,Baiyappanahalli,Sanjay Nagar,10.4,8.6,No,,No,,No,,324,6.5,4.6,4.6,UPI
07-09-2025,20:56:00,CNR2893218,Successful,CUST133782,Bike,Koramangala 1st Block,Ejipura,4.2,5.9,No,,No,,No,,925,10.3,4.4,4.3,UPI
28-09-2025,06:16:00,CNR5037710,Successful,CUST316092,Auto,Kudlu,MG Road,4.3,2.8,No,,No,,No,,266,6.7,4.7,4.9,UPI
21-09-2025,20:53:00,CNR1816653,Cancelled by Driver,CUST356622,Bike,Residency Road,Airport Road,,,No,,Yes,Customer related issue,No,,,9.2,,,UPI
23-09-2025,19:14:00,CNR1946973,Successful,CUST246942,Mini,Marathahalli,Banaswadi,9.9,8.7,No,,No,,No,,622,26.5,4,4,UPI
22-09-2025,11:26:00,CNR6379867,Successful,CUST348411,Prime Sedan,Malleshwaram,Bharathnagar,5.3,7.6,No,,No,,No,,157,5.9,4.5,4.7,UPI
14-09-2025,10:41:00,CNR2022699,Successful,CUST683761,Prime SUV,Talaghattapura,Banashankari,13.4,13.2,No,,No,,No,,355,13.4,4.8,4.2,UPI
14-09-2025,14:27:00,CNR1786584,Successful,CUST461145,Prime SUV,Bharathnagar,Cooke Town,10.8,16.3,No,,No,,No,,993,19.2,4.5,4.1,UPI
12-09-2025,13:06:00,CNR7849452,Other,CUST256466,Prime Sedan,Banashankari,Chikkabanavara,,,No,,No,,No,,,3.8,,,UPI
08-09-2025,09:50:00,CNR6045519,Successful,CUST999197,Bike,Baiyappanahalli,Brigade Road,4.8,7.7,No,,No,,No,,246,11.4,5,4.8,Card
29-09-2025,15:30:00,CNR9891787,Successful,CUST240606,Mini,Kalyan Nagar,Electronic City,9,10.8,No,,No,,No,,206,7.8,4.9,4.1,UPI
05-09-2025,13:40:00,CNR7225647,Successful,CUST196955,Mini,Jalahalli,Brigade Road,8.8,9.7,No,,No,,No,,294,4.8,4.5,4.6,Cash
21-09-2025,16:17:00,CNR1663497,Cancelled by Driver,CUST176319,Prime Plus,Chikkabanavara,Peenya,,,No,,Yes,Customer related issue,No,,,17.4,,,Cash
14-09-2025,20:50:00,CNR6586214,Cancelled by Customer,CUST417915,Prime SUV,Koramangala,Electronic City,,,Yes,Driver is not moving towards pickup location,No,,No,,,21.6,,,Cash
23-09-2025,18:52:00,CNR9034958,Successful,CUST354377,Bike,Ejipura,Electronic City,4.2,6.5,No,,No,,No,,272,4.7,5,4.5,Card
07-09-2025,11:29:00,CNR5748945,Other,CUST499152,Mini,Hosur Road,Sanjay Nagar,,,No,,No,,No,,,11.6,,,UPI
13-09-2025,21:03:00,CNR9342928,Other,CUST588640,Auto,Hulimavu,Seshadripuram,,,No,,No,,No,,,4.8,,,UPI
12-09-2025,09:28:00,CNR7219396,Successful,CUST428122,Mini,Yeshwantpur,Banaswadi,5,10.2,No,,No,,No,,766,15,4,3.7,UPI
01-09-2025,15:26:00,CNR8005797,Other,CUST409531,Auto,Kammanahalli,Banaswadi,,,No,,No,,No,,,5.9,,,UPI
27-09-2025,14:31:00,CNR6663388,Other,CUST369826,Bike,Ulsoor,Hulimavu,,,No,,No,,No,,,5.3,,,UPI
15-09-2025,08:52:00,CNR6908535,Cancelled by Driver,CUST277487,Auto,Chamarajpet,Ulsoor,,,No,,Yes,Personal & Car related issues,No,,,2.2,,,Cash
17-09-2025,20:19:00,CNR2247057,Successful,CUST957730,Bike,Chikkabanavara,Koramangala,4.1,7,No,,No,,No,,423,5.8,4.4,5,Cash
27-09-2025,09:56:00,CNR2140312,Successful,CUST841521,Auto,Electronic City,Frazer Town,2.1,2.7,No,,No,,No,,211,11.4,3.6,3.7,UPI
04-09-2025,16:53:00,CNR9106820,Cancelled by Driver,CUST791309,Mini,Koramangala,Chamarajpet,,,No,,Yes,Personal & Car related issues,No,,,8.4,,,UPI
01-09-2025,18:19:00,CNR5609384,Successful,CUST661762,Prime SUV,Indiranagar,Frazer Town,9.3,6.7,No,,No,,No,,763,12.2,4.3,4.2,UPI
21-09-2025,19:45:00,CNR4007598,Successful,CUST212214,Prime SUV,Shivaji Nagar,Malleshwaram,8.6,11.5,No,,No,,No,,162,5.2,4.8,4.9,Card
21-09-2025,10:18:00,CNR6946534,Successful,CUST380310,Bike,Whitefield,Banerghatta Road,4.4,4.9,No,,No,,No,,994,24.3,4.5,4.7,UPI
14-09-2025,10:09:00,CNR4789255,Successful,CUST414546,Bike,Whitefield,Hosur Road,5,6,No,,No,,No,,1946,28.1,3.9,4.7,UPI
21-09-2025,06:32:00,CNR2568678,Cancelled by Driver,CUST524965,Prime Sedan,Sarakki,Seshadripuram,,,No,,Yes,Personal & Car related issues,No,,,4.6,,,UPI
21-09-2025,07:24:00,CNR9386232,Successful,CUST986392,Mini,Kammanahalli,Yeshwantpur,10.5,13.8,No,,No,,No,,999,10.6,4.9,3.7,UPI
29-09-2025,21:16:00,CNR9861040,Successful,CUST144618,Prime Plus,Sarjapur Road,Yeshwantpur,7.2,9.8,No,,No,,No,,427,10.1,4.3,4.9,UPI
03-09-2025,07:16:00,CNR5703878,Successful,CUST669408,Mini,MG Road,Banashankari,3.2,5.7,No,,No,,No,,500,24.9,4.4,3.9,UPI
11-09-2025,22:24:00,CNR4475536,Successful,CUST715551,Auto,Ejipura,Residency Road,3.7,6,No,,No,,No,,849,15,4.6,5,UPI
11-09-2025,15:37:00,CNR5034453,Successful,CUST694223,eBike,Cooke Town,Nagarbhavi,3,0.5,No,,No,,No,,735,16.4,4.8,4.7,UPI
12-09-2025,18:53:00,CNR3347981,Successful,CUST928897,Prime SUV,Hulimavu,Whitefield,8.7,9.8,No,,No,,No,,369,0.5,4.5,4.9,UPI
29-09-2025,06:54:00,CNR2638895,Cancelled by Customer,CUST558320,Prime Plus,Jayanagar,Kammanahalli,,,Yes,AC is not working (Only for 4-wheelers),No,,No,,,6.5,,,Wallet
28-09-2025,12:46:00,CNR6475691,Successful,CUST131064,Mini,Airport Road,Ulsoor,10.9,10.1,No,,No,,No,,367,13.2,4.7,4.1,UPI
18-09-2025,12:24:00,CNR8245206,Successful,CUST294760,Bike,Bharathnagar,Cooke Town,2.8,5.5,No,,No,,No,,242,7,4.7,4.4,UPI
21-09-2025,19:37:00,CNR5134741,Successful,CUST847748,Auto,Kundalahalli,Malleshwaram,3.2,0.5,No,,No,,No,,499,5.5,4.3,3.8,Card
25-09-2025,08:37:00,CNR7536772,Cancelled by Driver,CUST432061,Prime Sedan,Whitefield,Koramangala,,,No,,Yes,More than permitted people in there,No,,,24.1,,,Cash
13-09-2025,10:36:00,CNR2715158,Cancelled by Driver,CUST238943,Auto,Koramangala 5th Block,Airport Road,,,No,,Yes,More than permitted people in there,No,,,12.8,,,UPI
06-09-2025,07:31:00,CNR6937696,Other,CUST681141,Auto,Kudlu,Basavanagudi,,,No,,No,,No,,,16.1,,,UPI
01-09-2025,13:03:00,CNR7506196,Successful,CUST917018,Auto,Sarakki,Richmond Town,2.8,5.8,No,,No,,No,,30,12.9,4.5,4.6,UPI
07-09-2025,12:29:00,CNR3843767,Cancelled by Driver,CUST245584,Prime Sedan,Kundalahalli,Ulsoor,,,No,,Yes,Customer related issue,No,,,3.7,,,Card
14-09-2025,13:11:00,CNR6029008,Cancelled by Driver,CUST607753,Bike,Banerghatta Road,Kalyan Nagar,,,No,,Yes,More than permitted people in there,No,,,7.8,,,Wallet
20-09-2025,09:20:00,CNR8681643,Incomplete,CUST212168,Auto,Koramangala,Residency Road,,,No,,No,,Yes,Other Issue,,3,,,UPI
14-09-2025,20:42:00,CNR6528792,Successful,CUST561607,Prime Sedan,Hosur Road,Kudlu,9.9,9.5,No,,No,,No,,146,6.5,4.6,3.8,Card
12-09-2025,22:10:00,CNR4369728,Successful,CUST602278,Prime Sedan,Residency Road,Basavanagudi,7.1,8.8,No,,No,,No,,177,7,4.6,4.5,UPI
21-09-2025,14:22:00,CNR5067204,Cancelled by Driver,CUST441716,Prime Sedan,Residency Road,Banerghatta Road,,,No,,Yes,Customer related issue,No,,,3.9,,,UPI
20-09-2025,15:18:00,CNR4018677,Successful,CUST814827,Bike,Indiranagar,Hulimavu,1.3,3.4,No,,No,,No,,213,1.8,4.3,5,UPI
21-09-2025,13:28:00,CNR5887726,Successful,CUST971662,Bike,Koramangala 1st Block,Nagarbhavi,6.2,6.6,No,,No,,No,,134,6.9,4.1,4.5,UPI
21-09-2025,10:07:00,CNR5239295,Successful,CUST790658,Auto,Koramangala 5th Block,Cooke Town,5.9,5.4,No,,No,,No,,499,3.6,4.3,3.9,UPI
30-09-2025,14:10:00,CNR7724393,Cancelled by Driver,CUST660324,Mini,Sarjapur Road,Koramangala 1st Block,,,No,,Yes,The customer was coughing/sick,No,,,3.7,,,Card
21-09-2025,19:51:00,CNR2425760,Incomplete,CUST214682,Bike,Bharathnagar,Bharathnagar,,,No,,No,,Yes,Other Issue,,1.3,,,UPI
21-09-2025,15:36:00,CNR7704473,Other,CUST889245,Prime Sedan,Koramangala 5th Block,Hebbal,,,No,,No,,No,,,8.5,,,UPI
08-09-2025,14:42:00,CNR9703982,Other,CUST685098,Mini,Yeshwantpur,Banaswadi,,,No,,No,,No,,,7.1,,,UPI
14-09-2025,19:10:00,CNR9396422,Successful,CUST258067,Prime Sedan,Indiranagar,Seshadripuram,7.5,9.3,No,,No,,No,,496,2.4,4,4.4,UPI
14-09-2025,22:24:00,CNR2440404,Cancelled by Driver,CUST221707,eBike,Hulimavu,Malleshwaram,,,No,,Yes,The customer was coughing/sick,No,,,3.8,,,Wallet
14-09-2025,09:31:00,CNR9742856,Successful,CUST606384,Prime Sedan,Hebbal,Airport Road,7.5,8.4,No,,No,,No,,999,24.5,4.7,4.4,Card
14-09-2025,07:08:00,CNR6037595,Successful,CUST146853,eBike,Yelahanka,Indiranagar,3.7,5.2,No,,No,,No,,999,23.7,4.9,4.5,UPI
21-09-2025,17:33:00,CNR3757404,Successful,CUST876459,Prime Plus,Banashankari,Sarakki,8,7.7,No,,No,,No,,297,8.8,4.6,4.5,UPI
19-09-2025,22:21:00,CNR8751982,Successful,CUST343118,Bike,Vijayanagar,Banashankari,4.2,4.5,No,,No,,No,,380,7.4,4.3,4.5,UPI
21-09-2025,12:45:00,CNR1489765,Cancelled by Customer,CUST873207,Mini,Jalahalli,Airport Road,,,Yes,Wrong Address,No,,No,,,5.8,,,UPI
01-09-2025,09:39:00,CNR4452490,Cancelled by Driver,CUST391865,Bike,Jayanagar,Yeshwantpur,,,No,,Yes,Customer related issue,No,,,6.2,,,Cash
13-09-2025,09:21:00,CNR8676422,Other,CUST219490,Prime Sedan,Ulsoor,Shivaji Nagar,,,No,,No,,No,,,12.4,,,UPI
11-09-2025,12:37:00,CNR7585795,Successful,CUST715519,Auto,Sanjay Nagar,Baiyappanahalli,4.3,5.2,No,,No,,No,,232,2.4,4.2,4.6,UPI
26-09-2025,18:02:00,CNR5990296,Successful,CUST744333,Mini,Nagarbhavi,HSR Layout,2.6,1.8,No,,No,,No,,269,6,3.7,4.8,UPI
07-09-2025,07:59:00,CNR4070977,Cancelled by Customer,CUST491439,Bike,Frazer Town,Cooke Town,,,Yes,Driver asked to cancel,No,,No,,,4.3,,,UPI
20-09-2025,13:13:00,CNR4116429,Successful,CUST610310,Mini,Sarjapur Road,Hosur Road,7.7,8.9,No,,No,,No,,500,14.7,4.6,4,UPI
07-09-2025,08:50:00,CNR9214830,Successful,CUST402865,Auto,Basavanagudi,Airport Road,4.8,5.1,No,,No,,No,,246,3.3,5,4.8,Card
28-09-2025,22:14:00,CNR1160783,Successful,CUST608149,Auto,Cooke Town,Sarakki,3.6,3.7,No,,No,,No,,239,12.5,5,4.6,UPI
15-09-2025,17:41:00,CNR9249791,Cancelled by Driver,CUST535820,Bike,Airport Road,Ulsoor,,,No,,Yes,Personal & Car related issues,No,,,6.6,,,UPI
25-09-2025,09:45:00,CNR5900455,Cancelled by Driver,CUST134283,Prime Sedan,Chamarajpet,Marathahalli,,,No,,Yes,More than permitted people in there,No,,,3.1,,,Cash
19-09-2025,19:11:00,CNR9309978,Successful,CUST676429,Mini,Yeshwantpur,Yelahanka,9.8,10.7,No,,No,,No,,394,4,4.3,5,Cash
18-09-2025,22:54:00,CNR7154919,Successful,CUST668373,eBike,MG Road,Chikkabanavara,4.5,8.1,No,,No,,No,,783,20.7,4.3,4.1,UPI
